Asset,Work Order,Description Line 1,Description Line 2
"034  -034 - 455, Detached, Built 1968, Rehab 1982","WO- 2,577",Fix furnace., brought over
"036  -036 - 455, Detached, Built 1968, Rehab 1982",WO- 318,No heat., Replaced electronic ignitier as the old one burnt out.
"036  -036 - 455, Detached, Built 1968, Rehab 1982",WO- 998,No heat., Replaced various components on burner and tested.
"036  -036 - 455, Detached, Built 1968, Rehab 1982","WO- 1,027",Furnace making noise.," No unusual noise but furnace won't start, checked and replaced faulty control box and tested."
"037  -037 - 455, Detached, Built 1968, Rehab 1982",WO- 225,Something leaking in furnace room., Replaced water pump.
"037  -037 - 455, Detached, Built 1968, Rehab 1982","WO- 2,977",Leak from hot water maker, given to Colin
"037  -037 - 455, Detached, Built 1968, Rehab 1982","WO- 2,988",Check zone valves low on glycol (heating),  close for new year
"038  -038 - 455, Detached, Built 1968, Rehab 1982",WO- 765,Smells of furnace fumes., Adjusted electrodes and tested.
"046  -046 - Weber, Detached, Built 1975, Retro 1991","WO- 2,132",No heat.," Checked furnace, replaced fuel pump and tested."
"049  -049 - Weber, Detached, Built 1975, Retro 1989","WO- 1,860",No heat and hot water.," Thoe bottom of fuel tank and all lines were frozen, emptied fuel into another fuel tank, brought frozen fuel tank to the sho overnight to thaw out, cleaned and took all the ice out, set up day tanks in unit for a day and a half, thawed out fuel lines with torches, brought tank back next day, rehooked everything up, filled fuel tank with new fuel, bled furnace and hot water maker until they both started, brought all the supplies back to the shop."
"049  -049 - Weber, Detached, Built 1975, Retro 1989","WO- 2,162",Fuel leak in laundry room.," One of the valves was loose, tightened valve."
"051  -051 - Weber, Detached, Built 1975, Retro 1990","WO- 2,898",Furnace not working.," Fan wasn't working too good, changed the snap disc limit control."
"051  -051 - Weber, Detached, Built 1975, Retro 1990","WO- 2,904",Please replace blower motor on furnace.,  close for new year
"051  -051 - Weber, Detached, Built 1975, Retro 1990","WO- 2,920",No heat.,  close for new year
"054  -054 - Weber, Detached, Built 1975, Retro 1991","WO- 2,065","Check furnace, starting to smell."," Checked furnace and oil fired water heater, working normally, sewage vent plugged."
"055  -055 - Weber, Detached, Built 1976, Retro 1993","WO- 1,579","Check furnace, making a loud noise. Also bathroom door/frame need to be fixed."," Furnace filter was really dirty, so replaced, checked for any problems afterwards and furnace was working properly."
"055  -055 - Weber, Detached, Built 1976, Retro 1993","WO- 2,930",No heat., Replaced air filter and nozzle.
"056  -056 - Weber, Detached, Built 1976, Retro 1999","WO- 1,855",HIP inspection for unit.,  close for new year
"058  -058 - Weber, Detached, Built 1976, Retro 1989","WO- 2,390",No heat.," Checked and replaced dirty nozzle and air filter, called back when everyone got off from storm, replaced worn coupling and tested."
"088  -088 - 455, Detached, Built 1972, Rehab 1981","WO- 2,707","Check furnace, smells of plastic when furnace goes on."," Tenant explained one of his visitors threw a ball into a heating vent and fell into the furnace, (heat exchanger), need to remove all plenum, w/o sent to Inukshuk,"
"088  -088 - 455, Detached, Built 1972, Rehab 1981","WO- 2,711","Remove ball that fell into the furnace plenum, see tenant, he's at home.",  close for new year
"060  -060 - Weber, Detached, Built 1976, Retro 1989",WO- 811,Furnace making noise.," Checked furnace, ran it through hot cycle, all okay, changed oil fired water maker, the day before it was making noise and cleaning."
"060  -060 - Weber, Detached, Built 1976, Retro 1989","WO- 1,042",fuel leak, Turn fuel valve off.  Take fuel line of burner take fitting off that had teflon on put a bunch of pipe dope.  Put everything back together.
"063  -063 - Weber, Detached, Built 1976, Retro 1999",WO- 246,Tenant heard loud bang and can smell fumes in unit (fuel spill).,  close for new year
"068  -068 - Weber, Detached, Built 1977",WO- 215,Black smoke coming out of chimney.," Replaced nozzles on furnace and hot water heater, clened soot from furnace, repaired plenum on furnace, cleaned lint build up from both burners, checked combustion air partly plugged with ice and snow build up, replaced filters on make up air side of furnace."
"069  -069 - Weber, Detached, Built 1977, Retro 1992","WO- 2,792",No heat in unit., Checked and replaced faulty fuel pump and tested.
"070  -070 - Weber, Detached, Built 1977, Retro 1992","WO- 2,427",No heat.," Fan was seized, took it all apart, came to the shop, could not find one the same, brought a furnace in from seacan to thaw out and replaced fan the next day."
"075  -075 - Weber, Detached, Built 1978, Retro 1988","WO- 1,540",Dirty air filter., Replaced dirty air filter.
"075  -075 - Weber, Detached, Built 1978, Retro 1988","WO- 2,448",Would like furnace filter changed.,  close for new year
"077  -077 - Weber, Detached, Built 1978, Retro 1988","WO- 2,628",Frozen drain.,Thawed out tub drain.
"078  -078 - Weber, Detached, Built 1978, Retro 1988",WO- 259,No heat.," Replaced the nozzle on furnace, replaced fuel pump and replaced furnace filter, furnace got loud after all was changed, sent to Inukshuk for loud furnace."
"078  -078 - Weber, Detached, Built 1978, Retro 1988",WO- 275,"Check noisy furnace, possibly blower wheel in the burner."," Found vibrating noise and starting rough, checked fan assembly bearing etc, there good, checked burner and found broken coupler, repaired and replaced nozzle in the burner, also checked air filter in furnace and turned over to match direction of air filter, set up air on burner."
"078  -078 - Weber, Detached, Built 1978, Retro 1988",WO- 310,Fuel smell.,  close for new year
"081  -081 - Weber, Detached, Built 1978, Retro 1992","WO- 2,004",No heat.," One of the workers forgot to turn switch on, i flicked the switch on and furnace went on."
"081  -081 - Weber, Detached, Built 1978, Retro 1992","WO- 2,017",Smell of soot from furnace.," Tested both furnace and water heater, working normally."
"081  -081 - Weber, Detached, Built 1978, Retro 1992","WO- 2,089",Furnace can't go on and unit smells of soot.," Furnace was not running, housing fuel pump was broken plus had to replace pump electrodes and nozzle plus tightened oil line."
"082  -082 - Weber, Detached, Built 1978, Retro 1992",WO- 197,"Check furnace, tenant says it's getting louder."," Removed fan assembly and re-built at shop and cleaned out, re-installed and tested."
"082  -082 - Weber, Detached, Built 1978, Retro 1992","WO- 2,397",No heat.," Furnace was on reset, pushed reset button and waited to see if it was working good, furnace stayed on."
"082  -082 - Weber, Detached, Built 1978, Retro 1992","WO- 2,839",Furnace not working., Checked and reset control box and waited for full cycle.
"083  -083 - Weber, Detached, Built 1978, Retro 1991",WO- 853,Check furnace., Replaced parts.
"085  -085 - Weber, Detached, Built 1978, Retro 1988","WO- 2,214",No heat.," Changed becket eletronic ignitor, got furnace going."
"085  -085 - Weber, Detached, Built 1978, Retro 1988","WO- 2,231",No heat.,  close for new year
"087  -087 - 455, Detached, Built 1972, Rehab 1992","WO- 2,136",Loud noise from furnace., Tightened up bolts and screws around fan assy.
"091  -091 - 455, Detached, Built 1972, Retro 1981",WO- 944,"Check furnace, getting loud!", Checked and replaced plugged air filter and tested.
"094  -094 - 455, Detached, Built 1972, Rehab 1981",WO- 809,"Really cold in bathroom,."," Checked bathroom, the floor is all rotted, will need to repair siding of skirting aound sewage tank."
"098  -098 - 455, Detached, Built 1972, M&I 1997",WO- 183,Smoke coming from furnace.," Checked furnace, replaced plugged nozzle and restarted, furnace still smoking, shut furnace down for the night, (tenant was ok with it), need to check fire pot in the morning."
"098  -098 - 455, Detached, Built 1972, M&I 1997",WO- 184,"Check furnace, smoke was coming out by front. Maybe fire pot? Also install a damper on flue pipe."," Replaced burner on water heater, took apart flue to check and cleaned soot from furnace, replaced nozzle and reset air, adjusted also cleaned out combustion air vent, it was plugged, installed damper on furnace flue pipe and repaired return air duct which was drawing all combustion air from furnace, also cleaned out fan on furnace and secured unit under furnace, note: had to put heater in unit, very cold."
"102  -102 - Woolfenden, 4 Plex, Built 1980, M&I 1996","WO- 2,737",No heat.," Tenant had no heat so I checked furnace, pressed reset button and it went on."
"102  -102 - Woolfenden, 4 Plex, Built 1980, M&I 1996","WO- 2,798",No heat.," Checked and bled vents in mechanical room and checked for heat, called again on the 27th, w/o sent to Inukshuk,"
"102  -102 - Woolfenden, 4 Plex, Built 1980, M&I 1996","WO- 2,811",No heat in unit.,  close for new year
281-M  -4 Kingmik Street,"WO- 1,053",No heat.," No heat call.  Boiler lost it pressure.  Needed more glycol.  We added 5 gallons, installed new relief valves and new expansion tank."
"105  -105 - Woolfenden, 4 Plex, Built 1980, M&I 1996",WO- 515,"Hot in unit, check zone valve."," Zone valve was stuck open, replaced zone valve."
"105  -105 - Woolfenden, 4 Plex, Built 1980, M&I 1996",WO- 755,No heat.," Zone valve stuck, unhooked lines to get glycol pushing through and rehook up."
"105  -105 - Woolfenden, 4 Plex, Built 1980, M&I 1996",WO- 854,No heat.," Wire for thermostat was off, reconnected wire."
"105  -105 - Woolfenden, 4 Plex, Built 1980, M&I 1996",WO- 964,No heat.," Boiler was low pressure, addled glycol."
"105  -105 - Woolfenden, 4 Plex, Built 1980, M&I 1996","WO- 2,190",No heat.," Boiler had no pressure, picked up glycol and pump from shop, filled up and re-circulate."
"105  -105 - Woolfenden, 4 Plex, Built 1980, M&I 1996","WO- 2,248",No heat., Zone valve was stuck so opened manually.
"105  -105 - Woolfenden, 4 Plex, Built 1980, M&I 1996","WO- 2,266",No heat., Released air lock.
"105  -105 - Woolfenden, 4 Plex, Built 1980, M&I 1996","WO- 2,296",No heat., Loosen sticky motor on zone valve.
"107  -107 - Woolfenden, 4 Plex, Built 1980, M&I 1996","WO- 2,316",No heat.," Zone valve was stuck open, opened valves are getting stuck because of the bad glycol."
"108  -108 - Woolfenden, 4 Plex, Built 1980, M&I 1996","WO- 2,141","Check furnace, says there's no heat.", Checked and loosen sticky motor in mechanical room and checked for heat.
"111  -111 - Woolfenden, Duplex, Built 1979, M&I 1995","WO- 1,009",Inspect furnace.," Replaced the nozzle, cleaned and reset the electrode."
"111  -111 - Woolfenden, Duplex, Built 1979, M&I 1995","WO- 1,153","Check furnace, making loud clicking noise.", OBM Larry serviced.
"111  -111 - Woolfenden, Duplex, Built 1979, M&I 1995","WO- 1,909","Check furnace, not working properly.",  close for new year
"113  -113 - Woolfenden, Detached, Built 1979, M&I 1997",WO- 190,Furnace sooting.," Adjusted air intake on burner, checked air filters."
"113  -113 - Woolfenden, Detached, Built 1979, M&I 1997",WO- 221,"Change furnace filter, smell of furnace fumes.", Replaced furnace filter.
"113  -113 - Woolfenden, Detached, Built 1979, M&I 1997","WO- 1,166",No heat.," Ran out of fuel, called fuel truck, had to bleed furnace after delivery."
"113  -113 - Woolfenden, Detached, Built 1979, M&I 1997","WO- 1,838","Furace filter to change, says full of soot.", Replaced furnace filter.
"114  -114 - Woolfenden, Duplex, Built 1979, M&I 1995",WO- 889,"Check furnace, says loud sound coming from it."," Checked furnace and hot water maker, noise came from when sewage was being pumped out."
"115  -115 - Woolfenden, Duplex, Built 1979, M&I 1995",WO- 589,Furnace made a loud bang.," Furnace made a loud bang and blew damper right out of smoke pipe, took apart burner, checked transformer and primary control, checked electrodes, had to be adjusted and replaced nozzlem checked coupler and oil pump, replaced both, checked chimney for obstructions, ok, adjusted air on burner."
"115  -115 - Woolfenden, Duplex, Built 1979, M&I 1995",WO- 596,Furnace shut off.," Tenant called that furnace shut off, told tenants needs to wait till Monday to get it serviced."
"115  -115 - Woolfenden, Duplex, Built 1979, M&I 1995",WO- 808,Fuel smell., W/O sent to Inukshuk to service the oil fired water heater and check furnace.
"117  -117 - Woolfenden, Duplex, Built 1979, M&I 1995",WO- 958,No heat., Change nozzle and clean it up.
"117  -117 - Woolfenden, Duplex, Built 1979, M&I 1995","WO- 1,061",Furnace sooting.," Checked furnace, adjusted flame for now.  Furnace will be serviced next day."
"119  -119 - Woolfenden, Duplex, Built 1979, M&I 1995",WO- 923,No heat.,Check and reset control box and tested.
"119  -119 - Woolfenden, Duplex, Built 1979, M&I 1995",WO- 926,No heat., Reset button.
"119  -119 - Woolfenden, Duplex, Built 1979, M&I 1995","WO- 2,240",No heat.," Loose wire in thermostat, tightened all wires."
"119  -119 - Woolfenden, Duplex, Built 1979, M&I 1995","WO- 2,653",No heat., brought over
"119  -119 - Woolfenden, Duplex, Built 1979, M&I 1995","WO- 2,662",Furnace out.," Checked furnace, problem with mother board or fan motor, w/o to be sent to electrican next day."
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996",WO- 84,Strong smell from furnace., Changed nozzle and filter to furnace.
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996","WO- 1,901",No heat.,Air locked.
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996","WO- 1,917",No heat.,Had to replace oil pump as well as coupler and nozzle.
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996","WO- 1,969","Check heating, furnace not working.",  OBM Larry serviced.
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996","WO- 2,043",no heat, Primed fuel pump.
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996","WO- 2,045",No heat," Replaced the nozzle, adjusted an flow to the burner, checked olf flow to the vent."
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996","WO- 2,073",No heat.," Went to unit, inspected furnace.  Had no power due to loose wire.  Re-connected wire and furnace was back in good working order."
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996","WO- 2,126",No heat., Replaced dirty air filters.
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996","WO- 2,130",Heating.,"Dampers blew off furnace and water heater due to puff back, had to replace old burner on water heater due to lots of worn out parts, had to make up new oil line and also replaced draft regulator on furnace and water heater also thermostat was broken."
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996","WO- 2,328",No heat., Checked and replaced burner motor and tested.
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996","WO- 2,329",No heat.," Had to re-use the motor that was reolaced the day before, newer model didn't have the hp."
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996","WO- 2,330",Beckett burner on furnace always going on reset. possibly motor or the control box faulty. CBHA has no parts.,  close for new year
"122  -122 - Woolfenden, Duplex, Built 1979, M&I 1996","WO- 2,429",No heat.," Went to unit, furnace was off, checked for fuel and bled pump, furnace still didn't were so changed nozzle."
"124  -124 - Woolfenden, Detached, Built 1979, M&I 1996",WO- 713,Fuel smell.," Started up furnace, adjusted fan control, checked air filter."
"126  -126 - Woolfenden, Detached, Re-built 1981,",WO- 180,"Furnace cant go on, also no hot water.","Boiler was out on low water condition, tridavator gauge full of glycol leaking, replaced gauge and to drain down boiler, refilled system up to pressure and started heating house along with assistance of electric heaters, house was very cold, had to purge large amount of air from system, burner was full of lint and not running well, had to replace nozzle and clean lint out of burner also replaced air vent nd set up indirect heater with proper temperature."
"126  -126 - Woolfenden, Detached, Re-built 1981,","WO- 2,911",No heat., Someone had shut the fuel line valve off from outside.
"127  -127 - Woolfenden, Detached, Re-built 1984",WO- 294,Fuel smell., Checked and replaced dirty nozzle and tested.
"127  -127 - Woolfenden, Detached, Re-built 1984",WO- 424,Fuel smell in unit.," Removed burner and brought to shop, cleaned, replaced fuel pump, replaced nozzle, reinstalled burner and restarted, checked for leaks."
"127  -127 - Woolfenden, Detached, Re-built 1984",WO- 433,Fuel smell.," Checked nozzle, it was new nozzle, checked filter, was good, ther was abit of fuel in drip tray, dried with paper towel and sprayed odorgon."
"129  -129 - 7 Plex, Built 1983",WO- 736,No heat.," Grabbed the glycol pump and 5 gallon of glycol, pumped the boiler up, tried to tak hose off the drain but the seal blew off, had to drain glycol from boiler into 45 gallen drum, changed pressure gauge and boiler drained, then repumped all the glycol back into boiler and waited for it to reach temperature."
"131  -131 - 7 Plex, Built 1983",WO- 738,No heat.," Drained boiler, pressure temperature gauge leaking and drain valve leaking, had to change them then filled boiler up to correct pressure."
"131  -131 - 7 Plex, Built 1983","WO- 1,971",Soot coming out of vents in livingroom.," Went and inspected inside and out on the roof, pipes were spotless, no black smoke at all."
"131  -131 - 7 Plex, Built 1983","WO- 2,008",No heat., Lots of heat in unit when i arrived.
"134  -134 - 7 Plex, Built 1983","WO- 2,264",No heat.," Heat is working, too cold outside."
"136  -136 - 4 Plex, Built 1983",WO- 743,No heat.," Checked heating, put emergency switch on in unit B and boiler came on."
"136  -136 - 4 Plex, Built 1983","WO- 2,283",No heat downstairs.," Nothing wrong with heating system, lots of heat, cold floor."
"136  -136 - 4 Plex, Built 1983","WO- 2,300",No heat.," Checked and raised boiler temperature by 10*, zone valve okay."
"136  -136 - 4 Plex, Built 1983","WO- 2,373","Check glycol, keep having no heat in unit."," Checked voiler and pressure was good, checked unit and all lines were good, getting cold from floors."
"136  -136 - 4 Plex, Built 1983","WO- 2,630","Check zone valve, hardly any heat, floor is really cold."," Teste thermostat and zone valves, working normally, too cold out."
"137  -137 - 4 Plex, Built 1983",WO- 107,Boiler sooting.," Checked nozzle, clean, removed ice built up on chimney and checked boiler."
"137  -137 - 4 Plex, Built 1983","WO- 2,213",No heat., Someone had shut off boiler switch.
"138  -138 - 4 Plex, Built 1983","WO- 1,576",New boiler., Old boiler was sooting up.  We removed boiler and replaced with new Weil Mclain boiler and Reillo Burner.
"139  -139 - 4 Plex, Built 1983",WO- 627,"Check heating, too hot in unit.", Checked and loosen sticky motor on zone and tested thermostat.
"140  -140 - 7 Plex, Built 1983","WO- 1,193",No heat in unit.," Zone valve was stuck, opened manually."
"140  -140 - 7 Plex, Built 1983","WO- 1,725",No heat.," Picked up glycol and pump from shop to go mechanical room, pumped up to 20psi and turned thermostat up and waited for boiler to reach temperature."
"140  -140 - 7 Plex, Built 1983","WO- 2,704",No heat,  close for new year
"140  -140 - 7 Plex, Built 1983","WO- 2,918",No heat.,  close for new year
"141  -141 - 7 Plex, Built 1983","WO- 2,057",NO heat.," Boiler pressure was low because of leak on boiler drain, pumped up with glycol and put a lid on drain."
"141  -141 - 7 Plex, Built 1983","WO- 2,115",No heat.," Pressurized boilet to 15psi and checked for heat, called again at 7:15, reset hi-limit control."
"142  -142 - 7 Plex, Built 1983","WO- 2,110",No heat.," Checked boiler, replaced faulty relief valve, replaced faulty tridicator, pressurized boiler to 20psi and checked for heat."
"142  -142 - 7 Plex, Built 1983","WO- 2,845",No heat.,  close for new year
"145  -145 - 2 Storey, Duplex, Built 1985",WO- 337,Change zone valve., Replaced zone valve as the old one kept getting stuck open or closed.
"147  -147 - 2 Storey, Duplex, Built 1985","WO- 2,096",No pressure on boiler.," Replaced 2 auto vents and pressure/relief valves, pressurized boiler and checked for heat."
"147  -147 - 2 Storey, Duplex, Built 1985","WO- 2,271",Low pressure on boiler., Loosen sticky motor on circulator and tested.
"147  -147 - 2 Storey, Duplex, Built 1985","WO- 2,516",Boiler out., Pressurized boiler and checked for heat.
"147  -147 - 2 Storey, Duplex, Built 1985","WO- 2,765",Change glycol and circulator pump.,  close for new year
"147  -147 - 2 Storey, Duplex, Built 1985","WO- 2,788",No heat.,  close for new year
"147  -147 - 2 Storey, Duplex, Built 1985","WO- 2,807",No heat.," Replaced burnt out circulator and 1 1/4 ball valves, old ball valve was cracked and we replaced with new."
"148  -148 - 2 Storey, Duplex, Built 1985",WO- 366,No heat., Complete
"148  -148 - 2 Storey, Duplex, Built 1985",WO- 870,Unit smells of furnace fumes.,"Checked boiler, pressuurized to 20psi, replaced hydrostat and low water cut off, restarted boiler and waited fr full cycle."
"148  -148 - 2 Storey, Duplex, Built 1985",WO- 966,No heat.,"Complete.  Burner motor seized, needs to be replaced."
"148  -148 - 2 Storey, Duplex, Built 1985",WO- 967,No heat., Got Lionel from Inukshuk to help me.  Picked up riello motor from a new burner.
"149  -149 - 2 Storey, Duplex, Built 1985",WO- 421,No heat.," Checked boiler, reset control box and waitied for full cycle of boiler."
"150  -150 - 2 Storey, Duplex, Built 1985","WO- 1,729",Check heating.," Expansion tank diaphragm ruptured, had to replace, also had to replace zone valve from main floor and added glycol to system and purge air from heating system, returned on October 19 to recheck heating, all systems fine."
"153  -153 - 4 Plex, Built 1986",WO- 886,No heat and hot water.," Boiler was on reset, reset it and waited fr everything to reach temperature."
"154  -154 - 4 Plex, Built 1986",WO- 890,No heat.," Adjusted zone valve, bled air in lines, air locked."
"155  -155 - 4 Plex, Built 1986","WO- 2,701",Would like all air vents closed., Closed all vents.
"155  -155 - 4 Plex, Built 1986","WO- 2,985",No heat.," Checked heating, replaced faulty zone valve and tested."
"155  -155 - 4 Plex, Built 1986","WO- 2,992",No heat.," Randy called me to 3A and 3M Kalvik, wire was loose on zone valve and motor was stuck, after fixing wire heat began to work."
"156  -156 - 4 Plex, Built 1986","WO- 1,807",No heat.," Pipes air locked, bled the bleeders in unit and mechanical room."
"156  -156 - 4 Plex, Built 1986","WO- 1,877",No heat.," Bled air vents in units and mechanical room, air locked."
"156  -156 - 4 Plex, Built 1986","WO- 2,348",No heat., Air lock.
"157  -157 - 4 Plex, Built 1986","WO- 2,802",No heat.," Checked heating, bled all vents in mechanical room, 02/28- bled more vents in mechanical room."
"158  -158 - 4 Plex, Built 1986","WO- 2,722",No heat.,Air lock.
"158  -158 - 4 Plex, Built 1986","WO- 2,801",No heat., Checked and pressureuzed boiler  to 20psi and checked for heat.
"161  -161 - 2 Storey, Detached, Re-built 1987",WO- 161,No heat.," Checked boiler, restarted burner and checked for heat 2hrs later."
"161  -161 - 2 Storey, Detached, Re-built 1987",WO- 177,No heat.," 04/22-pressurized boiler to 20 psi and checked for heat, 04/23-bled vents and checked again."
"161  -161 - 2 Storey, Detached, Re-built 1987","WO- 1,056",No heat and water.," Boiler was low on glycol.  Boiler was also air locked.  Installed purge valves on supply and return on boiler and new gauge.  Plumbing was frozen.  Repaired number of leaks in frozen pipe, installled new kitchen taps, new cartridge in bathtub and basin faucet."
"162  -162 - 2 Storey, Detached, Built 1985","WO- 2,712",No heat., Tightened furnace switch.
"162  -162 - 2 Storey, Detached, Built 1985","WO- 2,940",Service boiler., emailed
"162  -162 - 2 Storey, Detached, Built 1985","WO- 2,956",Boiler not working.," Boiler was overheating and way over high limit, shut boiler off and picked up 2 heaters for unit."
"163  -163 - 2 Storey, Detached, Built 1985","WO- 2,766",Furnace keep shutting off.,  close for new year
"164  -164 - 4 Plex, Built 1988","WO- 1,162",No heat.," Zone valve was stuck clsoed, opened manually."
"167  -167 - 4 Plex, Built 1988",WO- 688,No heat and not hot water.," Restarted boiler, adjusted electrodes and tested."
"167  -167 - 4 Plex, Built 1988","WO- 1,165",No heat., Replaced zone valve.
"168  -168 - Duplex, Built 1987",WO- 78,No heat.,  close for new year
"168  -168 - Duplex, Built 1987",WO- 83,No heat.," Zone valve was stuck closed, turned valve manually and it pushed through."
"168  -168 - Duplex, Built 1987",WO- 109,No heat.," Checked boiler and zone, loosen motor on zone valve and checked for heat."
"168  -168 - Duplex, Built 1987",WO- 120,Tenant says bedroom smells of gas/fuel.,  close for new year
"168  -168 - Duplex, Built 1987","WO- 1,588",No heat.," Checked boiler, pressurize and checked for heat."
"168  -168 - Duplex, Built 1987","WO- 1,592",No heat., Check and bleed all vents in Mech. Rm until heat came through.
"169  -169 - Duplex, Built 1987","WO- 1,253",No heat, Checked and pressurize boiler to 15 PSI and tested.
"171  -171 - 4 Plex, Built 1987",WO- 191,Loud beeping sound coming from mechanical room.," 04/24- went to the mechanical room and the alarm was sounding off, once i disconnected the system and replaced the broken device the system would still set off alarm, I called the fire department for c/o levels which were fine, after placing 2 new smoke detectors the system was functioning. 04/27- i was informed that the system was in alarm mode over the weekend and needed to replace all3 devices, the system is functioning properly."
"171  -171 - 4 Plex, Built 1987","WO- 1,219",No heat in unit., Replaced no good zone valve.
"174  -174 - 2 Storey, Duplex, Re-built 1989","WO- 2,751",No heat., Checked and bled all air vents in mechanical room and checked for heat.
"174  -174 - 2 Storey, Duplex, Re-built 1989","WO- 2,781",No heat.,  close for new year
"174  -174 - 2 Storey, Duplex, Re-built 1989","WO- 2,838",No heat.," Checked boiler, ble air vents and checked for heat."
"175  -175 - 2 Storey, Duplex, Re-built 1989",WO- 241,No heat,  close for new year
"175  -175 - 2 Storey, Duplex, Re-built 1989","WO- 1,760",No heat., Adjust zone valve.  Was stuck.
"175  -175 - 2 Storey, Duplex, Re-built 1989","WO- 2,191",No heat.," Zone valve stuck closed, re-opened it and got the unit circulating."
"175  -175 - 2 Storey, Duplex, Re-built 1989","WO- 2,209",No heat., Re-adjusted zone valve.
"175  -175 - 2 Storey, Duplex, Re-built 1989","WO- 2,228","No heat, no hot water."," Zone valve was stuck closed, held by a wire, moved the wire and got zone circulating again."
"176  -176 - 4 Plex, Built 1989","WO- 1,046",No heat," Checked boilers and zones, boiler switch was off.  (Maybe squackers again).  Switch boiler on and check for heat."
"180  -180 - 2 Storey, Duplex, Built 1989","WO- 2,705",No heat,  close for new year
"181  -181 - 2 Storey, Duplex, Built 1989","WO- 1,902",No heat., Air locked.
"181  -181 - 2 Storey, Duplex, Built 1989","WO- 1,905",Broken air vent.,Kids broke automatic air vent of radiator in porch.  We shut off supply and return for heting.  We removed old air vent and replaced with new air vent and valves.  We also added 5 gallons glycol to system.
"181  -181 - 2 Storey, Duplex, Built 1989","WO- 2,012",No heat in livingroom.," Zone valve was stuck closed, manually re-opened and heat pushed through."
"183  -183 - 7 Plex, Built 1983","WO- 2,633",Heat not coming throught radiators/heaters.," Boiler was low on glycol, added glycol."
"187  -187 - 3 Plex, Built 1990","WO- 1,796",No heat., Replaced not good zone valve.
"187  -187 - 3 Plex, Built 1990","WO- 1,799",Tenant says the heat won't go down now.," close, duplicate"
"191  -191 - Duplex, Built 1991",WO- 481,"Too hot in unit, would like boiler turned down."," Checked boiler and thermostat, boiler is working normally and thermostat  and zone valve works fine, too warm outside."
"191  -191 - Duplex, Built 1991",WO- 850,No heat," Checked heating at 4:45 pm, need to return after supper 6;00, re-fill glycol make up tank, pressurize boiler to 20psi and check for heat."
"191  -191 - Duplex, Built 1991","WO- 2,950",No heat.," Zone valve was stuck, opened manually."
"193  -193 - 3 Plex, Built 1991",WO- 485,"Too hot upstairs, heat can't go down."," Checked boiler room and zone valve for unit, there was no heat throught the lines, it was just too hot outside."
"193  -193 - 3 Plex, Built 1991","WO- 2,148",No heat.," Checked boiler room and everything was working, maybe drafty door and windows."
